title,ytlink,artist,wikipage
Old Town Road,https://www.youtube.com/watch?v=9YpvNgCSaCU,Lil Nas X featuring Billy Ray Cyrus,https://en.wikipedia.org/wiki/Old_Town_Road
Sunflower,https://www.youtube.com/watch?v=ApXoWvfEYVU,Post Malone and Swae Lee,https://en.wikipedia.org/wiki/Sunflower_(Post_Malone_and_Swae_Lee_song)
Without Me,https://www.youtube.com/watch?v=ZAfAud_M_mg,Halsey,https://en.wikipedia.org/wiki/Without_Me_(Halsey_song)
Bad Guy,https://www.youtube.com/watch?v=DyDfgMOUjCI,Billie Eilish,https://en.wikipedia.org/wiki/Bad_Guy_(Billie_Eilish_song)
Wow,https://www.youtube.com/watch?v=393C3pr2ioY,Post Malone,https://en.wikipedia.org/wiki/Wow_(Post_Malone_song)
Happier,https://www.youtube.com/watch?v=m7Bc3pLyij0,Marshmello and Bastille,https://en.wikipedia.org/wiki/Happier_(Marshmello_and_Bastille_song)
7 Rings,https://www.youtube.com/watch?v=QYh6mYIJG2Y,Ariana Grande,https://en.wikipedia.org/wiki/7_Rings
Talk,https://www.youtube.com/watch?v=hE2Ira-Cwxo,Khalid,https://en.wikipedia.org/wiki/Talk_(Khalid_song)
Sicko Mode,https://www.youtube.com/watch?v=6ONRf7h3Mdk,Travis Scott,https://en.wikipedia.org/wiki/Sicko_Mode
Sucker,https://www.youtube.com/watch?v=CnAmeh0-E-U,Jonas Brothers,https://en.wikipedia.org/wiki/Sucker_(song)
High Hopes,https://www.youtube.com/watch?v=IPXIgEAGe4U,Panic! at the Disco,https://en.wikipedia.org/wiki/High_Hopes_(Panic!_at_the_Disco_song)
"Thank U, Next",https://www.youtube.com/watch?v=gl1aHhXnN1k,Ariana Grande,"https://en.wikipedia.org/wiki/Thank_U,_Next_(song)"
Truth Hurts,https://www.youtube.com/watch?v=P00HMxdsVZI,Lizzo,https://en.wikipedia.org/wiki/Truth_Hurts_(song)
Dancing with a Stranger,https://www.youtube.com/watch?v=av5JD1dfj_c,Sam Smith and Normani,https://en.wikipedia.org/wiki/Dancing_with_a_Stranger
Señorita,https://www.youtube.com/watch?v=Pkh8UtuejGw,Shawn Mendes and Camila Cabello,https://en.wikipedia.org/wiki/Se%C3%B1orita_(Shawn_Mendes_and_Camila_Cabello_song)
I Don't Care,https://www.youtube.com/watch?v=y83x7MgzWOA,Ed Sheeran and Justin Bieber,https://en.wikipedia.org/wiki/I_Don%27t_Care_(Ed_Sheeran_and_Justin_Bieber_song)
Eastside,https://www.youtube.com/watch?v=56WBK4ZK_cw,"Benny Blanco, Halsey and Khalid",https://en.wikipedia.org/wiki/Eastside_(song)
Going Bad,https://www.youtube.com/watch?v=S1gp0m4B5p8,Meek Mill featuring Drake,https://en.wikipedia.org/wiki/Going_Bad
Shallow,https://www.youtube.com/watch?v=bo_efYhYU2A,Lady Gaga and Bradley Cooper,https://en.wikipedia.org/wiki/Shallow_(Lady_Gaga_and_Bradley_Cooper_song)
Better,https://www.youtube.com/watch?v=x3bfa3DZ8JM,Khalid,https://en.wikipedia.org/wiki/Better_(Khalid_song)
No Guidance,https://www.youtube.com/watch?v=6L_k74BOLag,Chris Brown featuring Drake,https://en.wikipedia.org/wiki/No_Guidance
Girls Like You,https://www.youtube.com/watch?v=aJOTlE1K90k,Maroon 5 featuring Cardi B,https://en.wikipedia.org/wiki/Girls_Like_You
Sweet but Psycho,https://www.youtube.com/watch?v=WXBHCQYxwr0,Ava Max,https://en.wikipedia.org/wiki/Sweet_but_Psycho
Suge,https://www.youtube.com/watch?v=KvuQNNVrbtM,DaBaby,https://en.wikipedia.org/wiki/Suge_(song)
Middle Child,https://www.youtube.com/watch?v=WILNIXZr2oc,J. Cole,https://en.wikipedia.org/wiki/Middle_Child_(song)
Drip Too Hard,https://www.youtube.com/watch?v=YzD9KW82sk,Lil Baby and Gunna,https://en.wikipedia.org/wiki/Drip_Too_Hard
Someone You Loved,https://www.youtube.com/watch?v=zABLecsR5UE,Lewis Capaldi,https://en.wikipedia.org/wiki/Someone_You_Loved
Ransom,https://www.youtube.com/watch?v=1XzY2ij_vL4,Lil Tecca,https://en.wikipedia.org/wiki/Ransom_(Lil_Tecca_song)
If I Can't Have You,https://www.youtube.com/watch?v=oTJ-oqwxdZY,Shawn Mendes,https://en.wikipedia.org/wiki/If_I_Can%27t_Have_You_(Shawn_Mendes_song)
Goodbyes,https://www.youtube.com/watch?v=EcL8SYTRT8k,Post Malone featuring Young Thug,https://en.wikipedia.org/wiki/Goodbyes_(Post_Malone_song)
Zeze,https://www.youtube.com/watch?v=EfHNIPXTxy0,Kodak Black featuring Travis Scott and Offset,https://en.wikipedia.org/wiki/Zeze_(song)
Better Now,https://www.youtube.com/watch?v=UYwF-jdcVjY,Post Malone,https://en.wikipedia.org/wiki/Better_Now
Youngblood,https://www.youtube.com/watch?v=-RJSbO8UZVY,5 Seconds of Summer,https://en.wikipedia.org/wiki/Youngblood_(5_Seconds_of_Summer_song)
Money in the Grave,,Drake featuring Rick Ross,https://en.wikipedia.org/wiki/Money_in_the_Grave
Speechless,,Dan + Shay,https://en.wikipedia.org/wiki/Speechless_(Dan_%2B_Shay_song)
"Break Up with Your Girlfriend, I'm Bored",https://www.youtube.com/watch?v=LH4Y1ZUUx2g,Ariana Grande,"https://en.wikipedia.org/wiki/Break_Up_with_Your_Girlfriend,_I%27m_Bored"
Please Me,https://www.youtube.com/watch?v=3y-O-4IL-PU,Cardi B and Bruno Mars,https://en.wikipedia.org/wiki/Please_Me
Money,https://www.youtube.com/watch?v=zUOh09GoQgk,Cardi B,https://en.wikipedia.org/wiki/Money_(Cardi_B_song)
You Need to Calm Down,https://www.youtube.com/watch?v=Dkk9gvTmCXY,Taylor Swift,https://en.wikipedia.org/wiki/You_Need_to_Calm_Down
Panini,https://www.youtube.com/watch?v=bXcSLI58-h8,Lil Nas X,https://en.wikipedia.org/wiki/Panini_(song)
Look Back at It,https://www.youtube.com/watch?v=RWDXD8tAkPo,A Boogie wit da Hoodie,https://en.wikipedia.org/wiki/Look_Back_at_It
A Lot,https://www.youtube.com/watch?v=DmWWqogr_r8,21 Savage,https://en.wikipedia.org/wiki/A_Lot_(song)
Me!,https://www.youtube.com/watch?v=FuXNumBwDOM,Taylor Swift featuring Brendon Urie,https://en.wikipedia.org/wiki/Me!
Mia,https://www.youtube.com/watch?v=OSUxrSe5GbI,Bad Bunny featuring Drake,https://en.wikipedia.org/wiki/Mia_(Bad_Bunny_song)
Pop Out,https://www.youtube.com/watch?v=g-uW3I_AtDE,Polo G featuring Lil Tjay,https://en.wikipedia.org/wiki/Pop_Out
Beautiful Crazy,,Luke Combs,https://en.wikipedia.org/wiki/Beautiful_Crazy
Thotiana,https://www.youtube.com/watch?v=v_qFfgTYdSo,Blueface,https://en.wikipedia.org/wiki/Thotiana
Lucid Dreams,https://www.youtube.com/watch?v=mzB1VGEGcSU,Juice Wrld,https://en.wikipedia.org/wiki/Lucid_Dreams_(Juice_Wrld_song)
Mo Bamba,https://www.youtube.com/watch?v=VWoIpDVkOH0,Sheck Wes,https://en.wikipedia.org/wiki/Mo_Bamba_(song)
Beautiful People,https://www.youtube.com/watch?v=mj0XInqZMHY,Ed Sheeran featuring Khalid,https://en.wikipedia.org/wiki/Beautiful_People_(Ed_Sheeran_song)
